Country,Medal,Count
Portugal,Gold
Portugal,Silver
Portugal,Silver
Portugal,Bronze
Greece,Gold
Greece,Silver
Greece,Bronze
Greece,Bronze
Greece,Bronze
Greece,Bronze
Greece,Bronze
Greece,Bronze
Argentina,Gold
Argentina,Silver
Argentina,Bronze
Egypt,Gold
Egypt,Silver
Egypt,Bronze
Tunisia,Gold
Tunisia,Silver
Tunisia,Bronze
Botswana,Gold
Botswana,Silver
Chile,Gold
Chile,Silver
Saint Lucia,Gold
Saint Lucia,Silver
Uganda,Gold
Uganda,Silver
Dominican Republic,Gold
Dominican Republic,Bronze
Dominican Republic,Bronze
Guatemala,Gold
Guatemala,Bronze
Morocco,Gold
Morocco,Bronze
Dominica,Gold
Pakistan,Gold
Türkiye,Silver
Türkiye,Silver
Türkiye,Silver
Türkiye,Bronze
Türkiye,Bronze
Türkiye,Bronze
Türkiye,Bronze
Türkiye,Bronze
Mexico,Silver
Mexico,Silver
Mexico,Silver
Mexico,Bronze
Mexico,Bronze
Armenia,Silver
Armenia,Silver
Armenia,Silver
Armenia,Bronze
Colombia,Silver
Colombia,Silver
Colombia,Silver
Colombia,Bronze
DPR Korea,Silver
DPR Korea,Silver
DPR Korea,Bronze
DPR Korea,Bronze
DPR Korea,Bronze
DPR Korea,Bronze
Kyrgyzstan,Silver
Kyrgyzstan,Silver
Kyrgyzstan,Bronze
Kyrgyzstan,Bronze
Kyrgyzstan,Bronze
Kyrgyzstan,Bronze
Lithuania,Silver
Lithuania,Silver
Lithuania,Bronze
Lithuania,Bronze
India,Silver
India,Bronze
India,Bronze
India,Bronze
India,Bronze
India,Bronze
Republic of Moldova,Silver
Republic of Moldova,Bronze
Republic of Moldova,Bronze
Republic of Moldova,Bronze
Kosovo,Silver
Kosovo,Bronze
Cyprus,Silver
Fiji,Silver
Jordan,Silver
Mongolia,Silver
Panama,Silver
Tajikistan,Bronze
Tajikistan,Bronze
Tajikistan,Bronze
Albania,Bronze
Albania,Bronze
Grenada,Bronze
Grenada,Bronze
Malaysia,Bronze
Malaysia,Bronze
Puerto Rico,Bronze
Puerto Rico,Bronze
Cabo Verde,Bronze
Côte d'Ivoire,Bronze
EOR,Bronze
Peru,Bronze
Qatar,Bronze
Singapore,Bronze
Slovakia,Bronze
Zambia,Bronze
