country_long,gender,age
Eritrea,Male,24
Turkmenistan,Female,40
Georgia,Female,25
Georgia,Male,24
Georgia,Female,24
Georgia,Male,32
Albania,Female,36
Morocco,Female,23
Albania,Male,31
Italy,Male,29
Italy,Male,22
Turkmenistan,Female,19
Bulgaria,Female,19
Georgia,Male,29
Turkmenistan,Male,20
Georgia,Male,31
Bulgaria,Female,24
Morocco,Male,25
Georgia,Female,21
Morocco,Male,29
Bulgaria,Female,19
Bulgaria,Female,18
Bulgaria,Female,21
Bulgaria,Female,19
Bulgaria,Female,19
Georgia,Female,55
Morocco,Male,30
AIN,Female,26
Libya,Male,22
Morocco,Male,44
Morocco,Male,30
Puerto Rico,Male,28
Puerto Rico,Female,25
Puerto Rico,Male,36
Puerto Rico,Male,27
Puerto Rico,Male,31
Puerto Rico,Female,24
Puerto Rico,Female,25
Puerto Rico,Female,25
Puerto Rico,Female,38
Puerto Rico,Female,27
Puerto Rico,Female,27
Puerto Rico,Female,27
Cuba,Male,32
Puerto Rico,Female,31
Puerto Rico,Female,21
Puerto Rico,Female,27
Romania,Female,25
Romania,Female,32
Romania,Female,26
Romania,Female,37
Puerto Rico,Male,27
Puerto Rico,Female,35
Libya,Male,24
Ukraine,Male,33
Ukraine,Male,26
Romania,Female,22
Mauritius,Male,28
Romania,Female,29
Kosovo,Female,29
Kosovo,Female,32
Kosovo,Female,24
Kosovo,Female,27
Kosovo,Male,28
Romania,Female,18
Romania,Female,17
Romania,Female,17
Georgia,Male,28
Romania,Female,17
Romania,Female,18
Burkina Faso,Male,28
Federated States of Micronesia,Male,29
Federated States of Micronesia,Male,30
Malaysia,Male,36
Malaysia,Male,29
India,Male,29
India,Male,27
Romania,Male,31
India,Male,24
Romania,Female,25
Romania,Female,26
Romania,Female,27
Republic of Moldova,Male,27
Republic of Moldova,Female,24
Romania,Female,26
Republic of Moldova,Female,24
India,Female,28
India,Female,21
Romania,Female,22
India,Female,23
Malaysia,Male,22
Romania,Female,22
Romania,Female,29
India,Female,27
Romania,Female,25
Romania,Female,25
Romania,Female,21
Germany,Male,29
Germany,Male,30
Germany,Female,34
Germany,Female,26
Romania,Female,25
Romania,Female,25
Romania,Female,23
Romania,Female,29
Romania,Female,30
Romania,Male,28
Georgia,Male,29
Grenada,Male,20
"Virgin Islands, US",Male,18
Italy,Male,30
Italy,Male,32
Italy,Female,33
Italy,Male,27
Italy,Female,23
Italy,Male,23
